dataset,pruning,seed,epsilon,result
MNIST,prune0.5,10,0.007,83
MNIST,prune0.5,100,0.007,58
MNIST,prune0.5,20,0.007,39
MNIST,prune0.5,30,0.007,76
MNIST,prune0.5,40,0.007,66
MNIST,prune0.5,50,0.007,42
MNIST,prune0.5,60,0.007,85
MNIST,prune0.5,70,0.007,34
MNIST,prune0.5,80,0.007,16
MNIST,prune0.5,90,0.007,48
MNIST,prune0.6,10,0.007,67
MNIST,prune0.6,100,0.007,47
MNIST,prune0.6,20,0.007,54
MNIST,prune0.6,30,0.007,78
MNIST,prune0.6,40,0.007,11
MNIST,prune0.6,50,0.007,29
MNIST,prune0.6,60,0.007,81
MNIST,prune0.6,70,0.007,12
MNIST,prune0.6,80,0.007,11
MNIST,prune0.6,90,0.007,52
MNIST,prune0.7,10,0.007,53
MNIST,prune0.7,100,0.007,10
MNIST,prune0.7,20,0.007,36
MNIST,prune0.7,30,0.007,77
MNIST,prune0.7,40,0.007,25
MNIST,prune0.7,50,0.007,29
MNIST,prune0.7,60,0.007,75
MNIST,prune0.7,70,0.007,5
MNIST,prune0.7,80,0.007,5
MNIST,prune0.7,90,0.007,21
MNIST,prune0.8,10,0.007,24
MNIST,prune0.8,100,0.007,33
MNIST,prune0.8,20,0.007,5
MNIST,prune0.8,30,0.007,13
MNIST,prune0.8,40,0.007,5
MNIST,prune0.8,50,0.007,11
MNIST,prune0.8,60,0.007,46
MNIST,prune0.8,70,0.007,1
MNIST,prune0.8,80,0.007,20
MNIST,prune0.8,90,0.007,8
MNIST,baseline,10,0.008,60
MNIST,baseline,100,0.008,13
MNIST,baseline,20,0.008,16
MNIST,baseline,30,0.008,36
MNIST,baseline,40,0.008,18
MNIST,baseline,50,0.008,0
MNIST,baseline,60,0.008,48
MNIST,baseline,70,0.008,4
MNIST,baseline,80,0.008,0
MNIST,baseline,90,0.008,28
MNIST,prune0.1,10,0.008,60
MNIST,prune0.1,100,0.008,22
MNIST,prune0.1,20,0.008,0
MNIST,prune0.1,30,0.008,5
MNIST,prune0.1,40,0.008,9
MNIST,prune0.1,50,0.008,5
MNIST,prune0.1,60,0.008,27
MNIST,prune0.1,70,0.008,0
MNIST,prune0.1,80,0.008,0
MNIST,prune0.1,90,0.008,16
